PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
+rude_respectful,+random_pointed,+charismatic_uninspiring,+scruffy_manicured,+lumberjack_mad-scientist,+leisurely_hurried,+attractive_repulsive,+modern_historical,+luddite_technophile,+masculine_feminine,+main-character_side-character,+yes-man_contrarian,+thin_thick,+sickly_healthy,+rap_rock
-angelic_demonic,+playful_serious,-mundane_extraordinary,-glamorous_spartan,-nerd_jock,+sleepy_frenzied,-comedic_dramatic,-spiritual_skeptical,-high-tech_low-tech,-cat-person_dog-person,-everyman_chosen-one,-political_nonpolitical,+libertarian_socialist,-hipster_basic,-focused-on-the-present_focused-on-the-future
+debased_pure,-strict_lenient,-tiresome_interesting,-refined_rugged,+sporty_bookish,-tense_relaxed,+beautiful_ugly,-luddite_technophile,-mathematical_literary,+straight_queer,-oppressed_privileged,-likes-change_resists-change,-political_nonpolitical,-masculine_feminine,-sexual_asexual
+poisonous_nurturing,+goofy_unfrivolous,+badass_weakass,+proletariat_bourgeoisie,-intellectual_physical,+aloof_obsessed,+sad_happy,-philosophical_real,-gamer_non-gamer,-androgynous_gendered,-hard-work_natural-talent,-activist_nonpartisan,+straight_queer,-outdoorsy_indoorsy,-masochistic_pain-avoidant
-wholesome_salacious,-rational_whimsical,+adventurous_stick-in-the-mud,+blue-collar_ivory-tower,+common-sense_analysis,+trolling_triggered,+chic_cheesy,-theist_atheist,-active_slothful,+sexual_asexual,+important_irrelevant,-tiresome_interesting,+main-character_side-character,-tall_short,+Italian_Swedish
+naughty_nice,-focused_absentminded,-repetitive_varied,+punk-rock_preppy,-cat-person_dog-person,+calm_anxious,+sexual_asexual,-poetic_factual,-eager_reluctant,-German_English,+sheltered_street-smart,+believable_poorly-written,+western_eastern,-musical_off-key,-tall_short
+selfish_altruistic,-studious_goof-off,+open-to-new-experinces_uncreative,-tailor_blacksmith,+macho_metrosexual,-offended_chill,+cool_dorky,+evolutionist_creationist,-ambitious_realistic,+main-character_side-character,-envious_prideful,-explorer_builder,-unlucky_fortunate,-French_Russian,-thin_thick
-empath_psychopath,+spontaneous_deliberate,+brave_careful,-extravagant_thrifty,+straightforward_cryptic,+remote_involved,-trolling_triggered,+high-tech_low-tech,-chill_sassy,-chic_cheesy,+protagonist_antagonist,+neutral_opinionated,-city-slicker_country-bumpkin,-good-cook_bad-cook,+gamer_non-gamer
+arrogant_humble,-coordinated_clumsy,+maverick_conformist,+frugal_lavish,-philosophical_real,+unemotional_emotional,+traumatized_flourishing,-rural_urban,-engineerial_lawyerly,-direct_roundabout,-good-cook_bad-cook,+permanent_transient,+rural_urban,-gamer_non-gamer,-lustful_chaste
+cunning_honorable,+disorganized_self-disciplined,+vibrant_geriatric,-cosmopolitan_provincial,+normal_weird,-active_slothful,-chronically-single_serial-dater,-metaphorical_literal,-princess_queen,+flawed_perfect,+rich_poor,+enslaved_emancipated,-activist_nonpartisan,-philosophical_real,-western_eastern
-complimentary_insulting,+loose_tight,-enslaved_emancipated,-rich_poor,-overthinker_underthinker,-motivated_unmotivated,+young_old,-slow-talking_fast-talking,-neutral_opinionated,+lustful_chaste,+captain_first-mate,+resigned_resistant,-androgynous_gendered,+Coke_Pepsi,+chronically-single_serial-dater
